pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score
V1298 Tau d,6.41,98.52681,12.4032,845.0,4941.0,1.14,1.41,0.1,-0.16923972327000925,0.47601157683362766,2.397940279545659,-0.0898101157358766,82.1,42.78
WASP-186 b,12.442,1341.2426,5.026799,1378.39678227,6361.0,1.21,1.46,-0.08,1.1675138459385925,-0.5233475692340503,8.664169597761454,0.27154022421582746,74.15,49.38
XO-7 b,15.39,225.34147,2.8641424,1743.0,6250.0,1.41,1.48,0.432,2.0812513652602025,2.3192740018029,0.9514016130741504,-0.17322666695644326,102.99,40.22
WASP-8 b,12.666,807.2882,8.15872,1059.0,5600.0,1.34,1.03,0.17,0.3670688434844064,0.8646512447488358,5.032104334993422,0.0620924126566901,87.88,45.02
K2-377 b,1.693,3.51,12.832235,912.5307146386988,4200.0,0.82,0.69,-0.008,0.0,-0.12360391080697912,1.224597025589891,-0.1574724948423085,48.83,18.15
2MASS J11011926-7732383 b,11.9,8899.1954,,2677.0,5412.3924897449615,,,0.014262971257932,4.4219625865154555,-3.3709117781417086e-16,62.84298707718381,3.395832860212905,78.12,137.31
WASP-72 b,14.46,731.009,2.21673,2210.0,6250.0,2.78,2.18,-0.06,3.251606975887829,-0.4123076641154194,3.496118447608608,-0.026482229984310095,75.82,42.95
K2-72 e,1.29,2.21,24.158868,912.5307146386988,3360.47,0.27,0.33,0.014262971257932,0.0,-3.3709117781417086e-16,1.3280451895919716,-0.15150702065819818,45.03,17.01
K2-385 b,1.539,2.98,2.380867,912.5307146386988,4844.0,0.93,0.76,-0.224,0.0,-1.3228348860881927,1.2581691274850424,-0.15553651551301062,35.02,16.94
WASP-192 b,13.787,731.009,2.8786765,1620.0,5910.0,1.09,1.32,0.14,1.7729992451163092,0.6980913870708896,3.845768808620059,-0.006319182894980323,86.95,44.0
TOI-2266 b,1.54,2.99,2.326318,550.0,3200.0,0.23,0.24,0.014262971257932,-0.9085435886557691,-3.3709117781417086e-16,1.260752234778209,-0.15538755723984238,45.32,17.48
HD 66428 b,12.4,3478.94974,2269.81726,912.5307146386988,5716.0,1.01,1.13,0.23,0.0,1.1977709601047284,22.625843782518206,1.0766584949900737,90.48,91.94
HD 70642 b,13.0,1239.53079,2124.54,912.5307146386988,5732.0,1.08,0.98,0.22,0.0,1.142251007545413,7.334501715976332,0.19486318022237153,89.86,72.97
